ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
9974,"1. mould, shape, form","mould, shape, form","ũmba!:, v.t. (11), 1. mould, shape, form; ~ nyũngũ, make pots; ~ icua, form a heap with refuse (from sacrifice) for burning ceremonially; ~ guoya, apply skin, fur (to a burn); ~ ndua mũhũra, mould wax on to the lip of a beer gourd. 2. (of God) create. rũmba, refl. sit apart, alone; keep to oneself, be concerned with one’s own affairs; be content, satisfied, with one’s lot; cf. rnuna, rikaria. ũmbomba, dim. ũmbombana, rec. dim. ũmbombia, caus. dim. ũmbombithia, d. caus. dim. ũmbombirira, inten. dim. ũmbanga, diff. mbangia, caus. dif.; ~ njohi mũhũra, put a wax funnel on a large beer calabash quickly. d. caus. diff, have sth. moulded quickly, assist sb. to mould for some time. ũmbangiria, caus. app. dim. ũmbania, caus. rec. mould anyhow. ũmbanira, app. rec. mould at the same time as sb. else, mould for sb, else. ũmbaniria, caus. app. rec. mould (things), at the same time, together. ũmbithia, d. caus. st. pot. ũmbira, app. ũmbirĩra, inten. mould some more in addition to; crowd around sb. or sth. ũmbũra, conv. undo a moulding before it dries; ~ r&hĩ, give a heavy smack. ũmbũka, neut. (of a moulding) disintegrate. v.t. (11), 1. (of birds, &c.) alight, settle, perch, upon; (of bees) mass, cluster, together in a swarm (on a tree, &c.). 2. (as aux.) settle down to; tũkĩ~ o kwĩrorera, (having nothing else to do) we began to watch. ũmbomba, dim. ũmbombũra, conv, see ũmbũra. rira, app. conv. dim. neut. dim. ũmbombũkia, caus. neut. dim.; see ũmbũkithia. ũmbanga, diff. ũmbanira, app. rec. I. alight together. 2. (of two or more persons) side together against one person, fall upon sb., attack or argue against one opponent; unite over a task and do it, lift a heavy object together. ũmbira, app. alight, perch, at. inten. (of a crowd, &c.) crowd round, attack (sb., sth.); flock after; pile at, beside, upon; swarm on to. rũmbirĩra, refl. inten. app. set off, run away, be frightened away. ũmbũra, conv. r. make fly, raise (dust). 2. (of boys) dance from household to household to get food and to warn parents that they are ready for initiation. 3. eat and finish suddenly. 4. strike, threaten to strike, a hard blow; akĩmũ~ iteke, he kicked him hard. 5. ward off evil by drinking from last-filled gourd of beer. ũmbũro, pass. conv. Mũmbia na njũgũma, he who refuses food offered by men is chased away with clubs. rũmbũra, refl. conv.; rghia ria kw~, the first horn of beer to set one on one’s feet. ũmbũranga, diff. conv. ũmbũrangira, app. diff. conv. ũmbũrana, rec. conv. I1. (of birds, &c.) make one another take wing, startle each other to flight. 2, (of dust) arise. 3. fight each other vigorously; ~ ngundi, box hard. ũmbũranira, app. rec. conv. fight, because of, at; cause to fight at the same time; raise dust for each other, others. Ombũraniria, caus. assoc, cony. 1, make (objects) take off, fly up simultaneously. 2. strike hard together. ũmbũrithia, d. caus. conv. 1. make fly up, take wing; have dust raised up. 2, chase a vanquished victim away. Ũmbũrithania, rec. d. caus, conv. chase one another along, across, in flight. ũmbũrithiria, app. d. caus. conv. r. defeat and chase (bulls, &c.) at. 2. have dust raised up upon sb.; have birds made to take wing for sb. ũmbũrĩka, st, pot. conv, ũmbũrĩra, app. conv. make take wing, fly, take off, at, for; raise dust, for, at. ĩũmbũrira, refl. app. conv. ũmbũriria, caus. app. conv. inten. conv. ũmbũneut. inten. (of a large number of birds, locusts, &c.) take wing gradually from one side of the field to the other. ũmbũrũrũkira, app. neut. inten. ũmbũka, neut. (of birds, aeroplanes, persons, &c.) fly up, take wing, take off, set off, rise up and go; (of dust) rise up into the air, be blown up. ũmbũkanga, dif. neut. ũmbũkangia, caus. diff. neut. raise dust rapidly, quickly; winnow (millet) rapidly for some additional time. ũmbũkania, caus. rec. neut. ŨmMbũkanira, assoc. neut. 1.(of aeroplanes) take off together. 2. (of dust) rise up into the air at the same time on to sb. Cmbũkaniria, caus. assoc. neut. 1. make (aeroplanes, birds, &c.) take off simultaneously. 2. raise dust on to sb., at the same time. caus., neut. I1. cause to fly. 2. raise dust. ũmbũkithia, d. caus. neut. let fly accidentally, cause, help to cause to fly, frighien (birds, &c.) away. ũmbũkĩka, st. pot. neut. ũmbũkira, app. neut. 1r. fly from, at. 2. get up suddenly and start on a task. ũmbũkiria, caus. app. neut. pake fly at, for; raise dust on to sb., sth."
9976,"I. anything moulded or constructed, a roughly built hut, framework of hut roof constructed on ground and lifted into position, hutch trap for serval cat or leopard",low ridge to prevent rain-water entering hut door. 2,"kĩũmba, ci-, n. (11), I. anything moulded or constructed, a roughly built hut, framework of hut roof constructed on ground and lifted into position, hutch trap for serval cat or leopard; cf. kraga, krĩna; see nynũmba. 2. enclosed nest of Weaver bird, &c. 3. (mod.) room in house. nyũmba?, n. 1. low ridge to prevent rain-water entering hut door. 2. low mound, ridge of ploughed furrow. komba, tũmba, n. dim, of above."
9978,"one who is attractive to the female sex, who seeks and wins their favours","flirting, gallantry, love-making, success in wooing","mũmbani, ombani; / kĩũmbani, ci-; n. (111), one who is attractive to the female sex, who seeks and wins their favours; a gallant, fiirt; cf. monyanya. ŨGũmbani, man. 1. flirting, gallantry, love-making, success in wooing."
9979,"1. creature, handiwork, created thing, natural object","creation, being created","kĩũmbe, ci-, n. (1v), 1. creature, handiwork, created thing, natural object; ~ kĩa Ngai, God’s creature; cicmbe na maheni, real and counterfeit, human and superior objects contrasted with inferior types. 2. (used adv.) expressly, really and truly; nĩ ũndũ wake ~, expressly for him (her); nĩ yake ~, it is his very own; nĩ mũndũ ~ nyũ, he is a real man, he is; ~, I myself, cf. -ene; ĩ, ti ithera ngi ~, so you have actually eaten flies. tũmbe, n. cl. 14 only, creation, being created."
9980,"I1. potter, maker, moulder (usu. a woman in case of clay pots). 2. a name for God. 3. a woman’s name","forming, shaping, creating","mũmbi, ombi, n. (111), I1. potter, maker, moulder (usu. a woman in case of clay pots). 2. a name for God. 3. a woman’s name; name of the mythical mother of the Kikuyu people whose ten daughters give names to the Kikuyu clans; see Gĩkũyũ, mũhĩrĩga. ũmbi, n. cl. 14 only, forming, shaping, creating. (ombia), n. (111), one who refuses kindness, &c. ~ arme ombragwo na one who refuses sth. offered by men (an insolent act) gets beaten by clubs. rũmbia, nyũmbia, n. boycott, strike. [ũnmba?]"
9983,"creation, formation. [ũmba","creation, formation","Gũmbo!, n. cl. 14 (111), creation, formation. [ũmba:] n. cl. 14 (111), (of a bird) place to settle. [ũmba?]"
9984,,REFERENCE,"rũmbo, see rũnũmba? under rũ"
9985,"n. (v), (N.K.) I. gnats, midges","() gnats, midges","rũmburura (nyũmburura), n. (v), (N.K.) I. gnats, midges; cf. rĩmuru. 2. spider’s web."
9986,(N.K.) fine large tree with big blunt barnacle-like protuberances on the bark and a wealth of green leaves,() fine large tree with big blunt barnacle-like protuberances on the bark and a wealth of green leaves,"mũmbũ, mi-, n. (11), (N.K.) fine large tree with big blunt barnacle-like protuberances on the bark and a wealth of green leaves; roimba ta ~, may you flourish like the ‘green bay tree’; cf. mogumo, moruri."
9991,"heart of tree, pith.","heart of tree, pith","Ũni, maũni, n. (11), heart of tree, pith. [ũnũra]"
9993,"act uncharitably, spitefully, cruelly, towards sb.","commit suicide, at, for. 2","ũnũha, v.t. (11), act uncharitably, spitefully, cruelly, towards sb.; spoil, destroy wantonly, injure, deface, damage; ~ mũndũa kindũ, destroy sth. so that a person may not profit by it; ~ mũndũ, deprive sb. of his life by magic or witchcraft. fũnũha, refl. I1, commit suicide. 2. spite oneself (by wantonly destroying one’s own property). Ũnonũha, dim. ũnũhanga, diff. ũnũhana, rec. r., deprive a young person of his life (so that he may not profit by living longer). 2. conceal profitable information from each other. 3. cause mutual destruction. ũnũhanira, app. rec. niria, caus. app. rec. destroy together. ũnũhbithia, d. caus. hika, st. pot. ũnũhira, app. destroy at, for. refl. app. I1. commit suicide, at, for. 2. destroy one’s property, intentionally, unintentionally."
9995,"extravagant, that which, he who, wastes.","extravagant, that which, he who, wastes","-ũnũhi, a. (I1), extravagant, that which, he who, wastes. [ũnũha]"
9996,"meanness, niggardliness",mischief,"kiũnũhu, ci-, n. (x), meanness, niggardliness; ill will, spite, uncharitableness; destructiveness, wanton mischief; wa ~, malicious, spiteful, person; ~ kĩa indo ciene, covetousness. ũnũhu, n. cl. 14 only, mischief; destructiveness."
9997,"peel, strip, bark (off a tree, &c.)",(of reptiles) cast off old skin,"ũnũra, v.t. (1), peel, strip, bark (off a tree, &c.); remove skin (from a wound). refl. 1. (of reptiles) cast off old skin; (of paint in a house, &c.) peel off; remove skin (from one’s wound). 2. show off, be conceited; cf. ũnonũra, dim. ũnũranga, diff. ũnũrana, rec.; ~ na tiboko, whip, strike, each other, heavily with whips, &c. Ũnũrania, caus. rec. peel entirely, anyhow; ~ mbembe, take the husks off the maize cob. ũnũranira, app. rec. I. peel for each other, others; peel at the same time as sb. else. 2. (coll.) fight, at, for. ũnũraniria, caus. app. rec. 1. peel, strip bark off, at, for. 2. (coll.) buy together, simultaneously. ũnũrithia, d. caus. have peeled, assist in peeling. ũnũrithiria, app. d. caus. Ũnũrika, st. pot. Ũnũrĩra, app. peel for, at. refl, 1. peel oneself, at, for; cast old skin off. 2. (of child) cry (to mother, &c.) for nothing, cry for the moon; tiga kwĩ~, stop crying (for nothing) to me. ũnũrũrũka, neut. inten. become widely, completely, horribly, peeled, skinned, off. Ũnũka, v.i, peel off. a, (11), peeled. [ũnũra]"
9998,(usually cl. 6) peeling,peeling,"rĩũnũro, monũro [moonũro], n. (x1), (usually cl. 6) peeling; bark peeled or cut off a tree. [ũnũra]"
9999,1. make up into lumps,make up into lumps,"ũnda, v.t. (11), 1. make up into lumps; make, form, mould; knead (dough) into a lump. 2. smelt pig iron, make (iron) into a pig; mould (an axe, &c.); eat with gusto, stuff food into the mouth and munch it with satisfaction. ũndonda, dim. ũndanga, diff. Cndana, rec. ũndania, caus. rec. ũndanira, app. rec. caus. app. rec. d. caus. ũndika, st. pot. ũndira, app. 1. mould at. 2. stuff (food) into the mouth. Ũndĩria, caus. stuff (food) into the mouth. ũndũra, conv. I. eat hungrily, eat with gusto. 2. smash. ũndgria, caus. conv. enjoy eating food."
10000,(arch.) (used only in counting) one,() (used only in counting) one,"ũndi / ndi, num. (u), (arch.) (used only in counting) one; cf. -mwe."
10002,"train, string, queue of people, &c.","train, string, queue of people, &c","mũndiriri, mi-, n. (v), train, string, queue of people, &c.; cf. niriro, mũtongoro, mũgokoro, mũkwĩri."
10003,,REFERENCE,"(ka-)(ki-)(ma-)Gndũ, see under Ũndũ."
10004,"1. swarm of bees, locusts, or warrior ants on the march","swarm of bees, locusts, or warrior ants on the march","mũndũ, mi-, n. (1), 1. swarm of bees, locusts, or warrior ants on the march; cf. gĩthũa. 2. lump, fistful; lump of prepared clay; cf. rrnmba. 3. lump of smelted iron; cf. gĩkama. 4. ball of cotton; burst head of bulrush. 5. lump of cooked food; cf. moũndwa. 6. substance exuded from pores of skin when rubbed. 7. mundia ~, (N.K.) go in file, procession. [ũnda]"
10005,"a special stick, 2—3 ft. long, used for mashing up food","a special stick, 2—3 ft","mũndũri, mĩ-, n. (X11), a special stick, 2—3 ft. long, used for mashing up food; rĩa, ~, eat food left on the spoon after mashing (given to younger children, not to boys because it is thought they will lose wrestling matches if they eat it); cf. miko. [ũnda]"
10006,"1. stuff food into the mouth, eat heartily, gobble. 2. beat sb. hard","heap, pile","ũndũtha, v.t, (11), 1. stuff food into the mouth, eat heartily, gobble. 2. beat sb. hard; ngũkũ~ Ũraare raũĩ, I will give you such a beating that you will have to spend the night in the river (to revive). ũndondũtha, dim. ũndũthanga, diff. ũndũthana, rec. (esp. of women) fight each other hard. caus. rec. 1. beat sb. haphazardly. 2. gobble food. ũndũthanira, app. rec. fight each other, at, because of. ũndũthanĩria, caus. app. rec. Ũndgũthĩra, app. I. beat sb. at. 2. cat, at, for. ci-, n. (vinr), heap, pile. [ũndũtha]"
10007,"1. lump of cooked food prepared for a journey. 2. lump of prepared pot clay. 3. pig of smelted iron. 4. mundia ~, go in file",lump of cooked food prepared for a journey,"mũndwa, mi-, n. (v), 1. lump of cooked food prepared for a journey. 2. lump of prepared pot clay. 3. pig of smelted iron. 4. mundia ~, go in file; cf. moũndũ. [ũnda]"
10009,"ĩ. anything which attracts, a magnet",ĩ,"mũnga, mi-, n. (1v), ĩ. anything which attracts, a magnet; mũthaiga wa ~, a magical powder or medicine for attracting good fortune, wealth, admirers, &c. 2. acquisitive, greedy, rapacious person, kĩũnga, ci-, n.; ũrotuĩka ~ Ũngage airĩtu, may you be a gatherer and attract the young ladies (part of the blessing of initiates). [ũnga]"
10010,"n. (11), 1. mumps",mumps,"mũngai, (mi-), n. (11), 1. mumps; cf. mũrimũ wa ciana. 2. name of a former age-set."
10013,,REFERENCE,"kiũngungui, see ngungui,"
10014,"unripe gourd, still on plant. n. I1. gourd-plant (Lagenaria)",gourd-plant (Lagenaria),"mũngũ!, mi-, n. (1v), unripe gourd, still on plant. n. I1. gourd-plant (Lagenaria); ~ rĩa ngoma, a wild gourd, cf. rrage. 2. green gourd; cf. gĩcere, gĩtĩrĩra, gĩtete, gĩumbĩ, kĩhũri, kĩnya, mũcema, ndahi, ndua, nyanja, gĩcandi. ~, n. seed of gourd or pumpkin; pip of fruit."
10015,"1. refuse from winnowing grain, chaff, husks P crushed dry leaves","refuse from winnowing grain, chaff, husks P crushed dry leaves","mũngũ?, mi-, n. (11), 1. refuse from winnowing grain, chaff, husks P crushed dry leaves; cf. mahũngo, thumu. 2. pollen. see under nyũngũ. nyũnggi (N.K.); krũng’'ũi, ci-; n. (1x), fatality, fatal malady, decline; cf. kĩũrĩre."
10016,,REFERENCE,"mũngũiki, see mũngũngi."
10018,"vagabond, vagrant",vagabondage,"mũngũngi, ongũngi, n. (X1), vagabond, vagrant; unstable, restless person; cf. mũngũtũ(i), kĩhnũngũiyo, mũgũgi. ũngũngi, n. cl. 14 only, vagabondage. [ũngũnga]"
10020,,"state of wandering, confusion","mũngũti, mĩ-, n. (xI) state of wandering, confusion; [see ũngũtaka]"
10021,"wandering, confused, person.","wandering, confused, person","mũngũtũ, n. cl. xi only (x1), wandering, confused, person. [ũngũtũka]"
10023,,wayward wanderer,"mũngũtũki / mũngũti, ongũtũki / ongũti, n. (1) wayward wanderer; wandering, vacillating person; cf. moũrũri."
10025,1. layer of frog or fish spawn on surface of water,layer of frog or fish spawn on surface of water,"rũngũyũ, njũngũyu / (N.k.) mongũyũ, n. cl. 11/10 or 6 (xu), 1. layer of frog or fish spawn on surface of water; any transparent covering on water. 2. sb. elses child hanging around the house; cf. rũengerema. kĩgngnũyu, ci-, n. r. fish. 2. (as term of abuse) coward."
10026,sp.,of banana (yellow when ripe and with harder and drier fruit than usual),"mũnjũ, mĩ-, n. (1v), sp. of banana (yellow when ripe and with harder and drier fruit than usual)."
10027,1. salty earth,salty earth,"mũnyũ, mi-, n. (11), 1. salty earth; any brackish or mineral earth appreciated by livestock; salt, salt-lick; ~ mwera, chalk-like earth found in certain localities, sometimes used as whitewash; ~ wa irura, papyrus ash; ~ mbuu, sweet tit-bit; cf. irũri. 2. effervescent water from mineral springs used for drinking and cooking vegetables, kĩũnyũ, ci-, n. a piece of salt; the property of salt. konyũ, n. dim. of above."
10031,1.,"ruin, desolation (in concrete form)","rĩũra, mora [moora}, n. (1), 1. deserted, overgrown hut. 2. (cl. 6) ruin, desolation (in concrete form). [ũra]"
10032,"1. loss, a state of lacking. 2. (in compounds) ~ -kinya, lack of strength","loss, a state of lacking","ũra, n. cl. 14 only (111), 1. loss, a state of lacking. 2. (in compounds) ~ -kinya, lack of strength; ~-matũ, headstrongness, disobedience; ~-thoni, shamelessness, immodesty. [ũra]"
10033,,"break, smash (brittle objects)","ũraga, v.t. (1I) x1. break, smash (brittle objects); ~ ũthoni, cancel marriage contract; ~ ndũgũ, break off a friendship, a journey; ~ ngoro, dishearten; see ngoro. 2. kill, murder, take life. ĩnraga, refi. die without apparent cause, commit suicide; ~ na wĩra, overwork oneself. ũroraga, dim. diff. break into smaller bits, go on breaking for a while. ũragana, rec. kill sb., people. Oragania, caus, rec. break in entirety. ũraganira, app. kill, sb., each other, for, at; break sth. for each other, others. ũraganiria, caus. app. rec. Ũgragithia, d. caus. help to kill, break; have killed, broken. ũragithania, rec. d. caus.; ~ and, make people kill one another; ~ mahiga, make stones break one another. ũragithiria, app. d. caus. have sb., sth., killed, at, for; have sth. broken, for, at. ũragika, st. pot. ũragikira, app. st. pot. Ũragira, app. kil, break, for, at. Ũragirĩra, inten. break some more (and add to what is already there)."
10034,"murderer, slayer.","murderer, slayer. Nũragani, maũragani, n, murder, slaughter of human beings","mũragani, oragani [ooragani], n. (i11), murderer, slayer. Nũragani, maũragani, n, murder, slaughter of human beings. [Ũraga]"
10035,"killing of one another, slaughter of people.","killing of one another, slaughter of people","kĩũragano, ci-; njũragano | mbũragano, ~; n. (11), killing of one another, slaughter of people. [ũraga]"
